CaseId,Experiment,Parameter,Value,Seed,DeliveryRatio,LatencyP95Seconds,MaxLatencySeconds,Generated,Received,Dropped,Pending,PhysicalTransmissions,HopDataRetransmissions,HopControlRetransmissions,ControlFailures,HopControlFailures,NeighborDeactivations,RouteChanges,ControlPending,ControlPendingTargets,NwkPendingControlMessages,HopPendingData,NwkPendingCustody,ResendQueueDepth,DackHoldCount,PhysicalPending,DataDrained,ControlsDrained,OwnershipDrained
offered_load_x1_seed128,offered_load,LoadMultiplier,1.0,128,1.0,2.90149266666776,2.90149266666776,16,16,0,0,272,8,7,1,1,0,15,0,0,0,0,0,0,0,0,1,1,1
offered_load_x1_seed129,offered_load,LoadMultiplier,1.0,129,1.0,2.68049266666767,2.68049266666767,16,16,0,0,238,6,3,0,0,0,14,0,0,0,0,0,0,0,0,1,1,1
offered_load_x1_seed130,offered_load,LoadMultiplier,1.0,130,1.0,2.78449266666772,2.78449266666772,16,16,0,0,221,7,1,0,0,0,14,0,0,0,0,0,0,0,0,1,1,1
offered_load_x2_seed128,offered_load,LoadMultiplier,2.0,128,1.0,2.50149266665733,2.90149266666776,30,30,0,0,351,13,7,1,1,0,15,0,0,0,0,0,0,0,0,1,1,1
offered_load_x2_seed129,offered_load,LoadMultiplier,2.0,129,1.0,2.68049266666767,4.62549266662143,30,30,0,0,310,12,3,0,0,0,14,0,0,0,0,0,0,0,0,1,1,1
offered_load_x2_seed130,offered_load,LoadMultiplier,2.0,130,1.0,2.63949266658483,2.78449266666772,30,30,0,0,303,14,1,0,0,0,14,0,0,0,0,0,0,0,0,1,1,1
offered_load_x4_seed128,offered_load,LoadMultiplier,4.0,128,1.0,2.60451266665729,4.78951266660522,58,58,0,0,398,27,7,1,1,0,15,0,0,0,0,0,0,0,0,1,1,1
offered_load_x4_seed129,offered_load,LoadMultiplier,4.0,129,0.96551724137931,4.62151266666172,4.77151266663736,58,56,2,0,372,31,3,0,0,0,14,0,0,0,0,0,0,0,0,1,1,1
offered_load_x4_seed130,offered_load,LoadMultiplier,4.0,130,0.982758620689655,4.71351266666557,4.9814926666686,58,57,1,0,351,32,1,0,0,0,14,0,0,0,0,0,0,0,0,1,1,1
recovery_freshness_s60_seed128,recovery_freshness,FreshnessTimeoutSeconds,60.0,128,1.0,135.940412666693,135.940412666693,5,5,0,0,704,3,50,1,5,24,103,0,0,0,0,0,0,0,0,1,1,1
recovery_freshness_s60_seed129,recovery_freshness,FreshnessTimeoutSeconds,60.0,129,1.0,135.860132666692,135.860132666692,5,5,0,0,740,2,49,0,0,29,118,0,0,0,0,0,0,0,0,1,1,1
recovery_freshness_s60_seed130,recovery_freshness,FreshnessTimeoutSeconds,60.0,130,1.0,134.199212666688,134.199212666688,5,5,0,0,687,5,28,0,0,25,102,0,0,0,0,0,0,0,0,1,1,1
recovery_freshness_s180_seed128,recovery_freshness,FreshnessTimeoutSeconds,180.0,128,0.4,29.6011126666971,29.6011126666971,5,2,3,0,431,8,19,0,1,7,44,0,0,0,0,0,0,0,0,1,1,1
recovery_freshness_s180_seed129,recovery_freshness,FreshnessTimeoutSeconds,180.0,129,0.4,27.8953326666924,27.8953326666924,5,2,3,0,457,9,22,0,1,10,52,0,0,0,0,0,0,0,0,1,1,1
recovery_freshness_s180_seed130,recovery_freshness,FreshnessTimeoutSeconds,180.0,130,0.4,25.5752126666865,25.5752126666865,5,2,3,0,417,6,13,0,1,6,41,0,0,0,0,0,0,0,0,1,1,1
recovery_freshness_s300_seed128,recovery_freshness,FreshnessTimeoutSeconds,300.0,128,0.4,2.88087266667037,2.88087266667037,5,2,3,0,327,7,5,0,0,1,18,1,1,2,0,0,1,0,0,0,0,0
recovery_freshness_s300_seed129,recovery_freshness,FreshnessTimeoutSeconds,300.0,129,0.4,3.02387266667074,3.02387266667074,5,2,3,0,339,7,10,0,0,1,17,1,1,2,0,0,1,0,0,0,0,0
recovery_freshness_s300_seed130,recovery_freshness,FreshnessTimeoutSeconds,300.0,130,0.4,2.91987266667047,2.91987266667047,5,2,3,0,321,7,6,0,0,1,18,1,1,2,0,0,1,0,0,0,0,0
