CaseId,Experiment,Parameter,Value,Seed
offered_load_x1_seed128,offered_load,LoadMultiplier,1,128
offered_load_x1_seed129,offered_load,LoadMultiplier,1,129
offered_load_x1_seed130,offered_load,LoadMultiplier,1,130
offered_load_x2_seed128,offered_load,LoadMultiplier,2,128
offered_load_x2_seed129,offered_load,LoadMultiplier,2,129
offered_load_x2_seed130,offered_load,LoadMultiplier,2,130
offered_load_x4_seed128,offered_load,LoadMultiplier,4,128
offered_load_x4_seed129,offered_load,LoadMultiplier,4,129
offered_load_x4_seed130,offered_load,LoadMultiplier,4,130
recovery_freshness_s60_seed128,recovery_freshness,FreshnessTimeoutSeconds,60,128
recovery_freshness_s60_seed129,recovery_freshness,FreshnessTimeoutSeconds,60,129
recovery_freshness_s60_seed130,recovery_freshness,FreshnessTimeoutSeconds,60,130
recovery_freshness_s180_seed128,recovery_freshness,FreshnessTimeoutSeconds,180,128
recovery_freshness_s180_seed129,recovery_freshness,FreshnessTimeoutSeconds,180,129
recovery_freshness_s180_seed130,recovery_freshness,FreshnessTimeoutSeconds,180,130
recovery_freshness_s300_seed128,recovery_freshness,FreshnessTimeoutSeconds,300,128
recovery_freshness_s300_seed129,recovery_freshness,FreshnessTimeoutSeconds,300,129
recovery_freshness_s300_seed130,recovery_freshness,FreshnessTimeoutSeconds,300,130
