time_s,node,nwk_queue,nsdp_3_1,hop_pending_data,hop_resend_queue,mac_queue,mac_ack_queue,selected_route_1,selected_route_cost,active_peer_1,active_peer_2,active_peer_3,inactive_neighbor_drops,post_phy_eligibility_drops,app_deliveries,link_failure_callbacks
0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
15,1,0,0,0,0,4,4,0,,0,1,0,0,0,0,0
15,2,0,0,0,0,0,0,1,6274,1,0,0,0,0,0,0
15,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
20,2,0,0,0,0,0,0,1,6274,1,0,0,0,0,0,0
20,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
25,2,0,0,0,0,0,0,1,6274,1,0,0,0,0,0,0
25,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
30,1,0,0,0,0,2,2,0,,0,1,0,0,0,0,0
30,2,0,0,0,1,6,6,1,6274,1,0,1,0,0,0,0
30,3,0,0,0,0,3,3,1,12548,0,1,0,0,0,0,0
35,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
35,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
35,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
40,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
40,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
40,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
45,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
45,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
45,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
50,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
50,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
50,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
55,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
55,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
55,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
60,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
60,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
60,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
65,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
65,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
65,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
70,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
70,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
70,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
75,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
75,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
75,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
80,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
80,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
80,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
85,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
85,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
85,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
90,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
90,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
90,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
95,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
95,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
95,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
100,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
