CaseId,PacketId,SourceId,DestinationId,ApplicationBytes,Dscp,GeneratedSeconds,BeforeOutcome,AfterOutcome,BeforeLatencySeconds,AfterLatencySeconds,BothDeliveredLatencyDeltaSeconds,BeforeDropReason,AfterDropReason
offered_load_x1_seed128,1,2,1,64,0,240.0,delivered,delivered,1.55395266666685,1.55395266666685,0.0,,
offered_load_x1_seed128,2,3,1,64,0,240.0,delivered,delivered,2.90149266666776,2.90149266666776,0.0,,
offered_load_x1_seed128,3,2,1,64,0,249.0,delivered,delivered,2.37749266667117,2.37749266667117,0.0,,
offered_load_x1_seed128,4,3,1,64,0,249.0,delivered,delivered,0.284492666670332,0.284492666670332,0.0,,
offered_load_x1_seed128,5,2,1,64,0,258.0,delivered,delivered,0.293492666669295,0.293492666669295,0.0,,
offered_load_x1_seed128,6,3,1,64,0,258.0,delivered,delivered,2.42549266666549,2.42549266666549,0.0,,
offered_load_x1_seed128,7,2,1,64,0,267.0,delivered,delivered,0.250492666653315,0.250492666653315,0.0,,
offered_load_x1_seed128,8,3,1,64,0,267.0,delivered,delivered,2.47349266664935,2.47349266664935,0.0,,
offered_load_x1_seed128,9,2,1,64,0,276.0,delivered,delivered,2.41749266663339,2.41749266663339,0.0,,
offered_load_x1_seed128,10,3,1,64,0,276.0,delivered,delivered,0.194492666637359,0.194492666637359,0.0,,
offered_load_x1_seed128,11,2,1,64,0,285.0,delivered,delivered,2.50449266661718,2.50449266661718,0.0,,
offered_load_x1_seed128,12,3,1,64,0,285.0,delivered,delivered,0.255492666621194,0.255492666621194,0.0,,
offered_load_x1_seed128,13,2,1,64,0,294.0,delivered,delivered,0.225492666605192,0.225492666605192,0.0,,
offered_load_x1_seed128,14,3,1,64,0,294.0,delivered,delivered,2.44849266660123,2.44849266660123,0.0,,
offered_load_x1_seed128,15,2,1,64,0,303.0,delivered,delivered,0.27349266658905,0.27349266658905,0.0,,
offered_load_x1_seed128,16,3,1,64,0,303.0,delivered,delivered,2.47049266658513,2.47049266658513,0.0,,
offered_load_x1_seed129,1,2,1,64,0,240.0,delivered,delivered,2.68049266666767,2.68049266666767,0.0,,
offered_load_x1_seed129,2,3,1,64,0,240.0,delivered,delivered,1.54095266666684,1.54095266666684,0.0,,
offered_load_x1_seed129,3,2,1,64,0,249.0,delivered,delivered,2.41649266667119,2.41649266667119,0.0,,
offered_load_x1_seed129,4,3,1,64,0,249.0,delivered,delivered,0.18049266667029,0.18049266667029,0.0,,
offered_load_x1_seed129,5,2,1,64,0,258.0,delivered,delivered,2.36049266666561,2.36049266666561,0.0,,
offered_load_x1_seed129,6,3,1,64,0,258.0,delivered,delivered,0.202492666669457,0.202492666669457,0.0,,
offered_load_x1_seed129,7,2,1,64,0,267.0,delivered,delivered,0.211492666653385,0.211492666653385,0.0,,
offered_load_x1_seed129,8,3,1,64,0,267.0,delivered,delivered,0.35449266665313,0.35449266665313,0.0,,
offered_load_x1_seed129,9,2,1,64,0,276.0,delivered,delivered,2.39149266663344,2.39149266663344,0.0,,
offered_load_x1_seed129,10,3,1,64,0,276.0,delivered,delivered,0.181492666637382,0.181492666637382,0.0,,
offered_load_x1_seed129,11,2,1,64,0,285.0,delivered,delivered,0.164492666621356,0.164492666621356,0.0,,
offered_load_x1_seed129,12,3,1,64,0,285.0,delivered,delivered,2.4394926666173,2.4394926666173,0.0,,
offered_load_x1_seed129,13,2,1,64,0,294.0,delivered,delivered,0.290492666605076,0.290492666605076,0.0,,
offered_load_x1_seed129,14,3,1,64,0,294.0,delivered,delivered,0.160492666605307,0.160492666605307,0.0,,
