CaseId,Experiment,Parameter,Value,Seed,BeforeGenerated,AfterGenerated,DeltaGenerated,BeforeReceived,AfterReceived,DeltaReceived,BeforeDropped,AfterDropped,DeltaDropped,BeforePending,AfterPending,DeltaPending,BeforeNwkPendingCustody,AfterNwkPendingCustody,DeltaNwkPendingCustody,BeforeHopPendingData,AfterHopPendingData,DeltaHopPendingData,BeforeNeighborDeactivations,AfterNeighborDeactivations,DeltaNeighborDeactivations,BeforeRouteChanges,AfterRouteChanges,DeltaRouteChanges,BeforeControlFailures,AfterControlFailures,DeltaControlFailures,BeforeHopDataRetransmissions,AfterHopDataRetransmissions,DeltaHopDataRetransmissions,BothDeliveredCount,BothDeliveredMeanLatencyDeltaSeconds
offered_load_x1_seed128,offered_load,LoadMultiplier,1.0,128,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,1,0,8,8,0,16,0.0
offered_load_x1_seed129,offered_load,LoadMultiplier,1.0,129,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,6,6,0,16,0.0
offered_load_x1_seed130,offered_load,LoadMultiplier,1.0,130,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,7,7,0,16,0.0
offered_load_x2_seed128,offered_load,LoadMultiplier,2.0,128,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,1,0,13,13,0,30,0.0
offered_load_x2_seed129,offered_load,LoadMultiplier,2.0,129,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,12,12,0,30,0.0
offered_load_x2_seed130,offered_load,LoadMultiplier,2.0,130,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,14,14,0,30,0.0
offered_load_x4_seed128,offered_load,LoadMultiplier,4.0,128,58,58,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,1,0,27,27,0,58,0.0
offered_load_x4_seed129,offered_load,LoadMultiplier,4.0,129,58,58,0,56,56,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,31,31,0,56,0.0
offered_load_x4_seed130,offered_load,LoadMultiplier,4.0,130,58,58,0,57,57,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,32,32,0,57,0.0
recovery_freshness_s60_seed128,recovery_freshness,FreshnessTimeoutSeconds,60.0,128,5,5,0,5,4,-1,0,1,1,0,0,0,0,0,0,0,0,0,24,28,4,103,124,21,1,2,1,3,6,3,4,0.7990500000019221
recovery_freshness_s60_seed129,recovery_freshness,FreshnessTimeoutSeconds,60.0,129,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,-2,118,113,-5,0,1,1,2,4,2,5,6.060456000015622
recovery_freshness_s60_seed130,recovery_freshness,FreshnessTimeoutSeconds,60.0,130,5,5,0,5,4,-1,0,1,1,0,0,0,0,0,0,0,0,0,25,27,2,102,116,14,0,4,4,5,3,-2,4,-4.469075000011459
recovery_freshness_s180_seed128,recovery_freshness,FreshnessTimeoutSeconds,180.0,128,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,7,8,1,44,50,6,0,0,0,8,9,1,2,1.2456900000032995
recovery_freshness_s180_seed129,recovery_freshness,FreshnessTimeoutSeconds,180.0,129,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,10,9,-1,52,52,0,0,0,0,9,7,-2,2,-0.9462000000024311
recovery_freshness_s180_seed130,recovery_freshness,FreshnessTimeoutSeconds,180.0,130,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,6,8,2,41,49,8,0,0,0,6,6,0,2,0.4638000000011928
recovery_freshness_s300_seed128,recovery_freshness,FreshnessTimeoutSeconds,300.0,128,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,1,2,1,18,20,2,0,0,0,7,7,0,2,0.0
recovery_freshness_s300_seed129,recovery_freshness,FreshnessTimeoutSeconds,300.0,129,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,1,2,1,17,19,2,0,0,0,7,7,0,2,0.0
recovery_freshness_s300_seed130,recovery_freshness,FreshnessTimeoutSeconds,300.0,130,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,1,2,1,18,20,2,0,0,0,7,7,0,2,0.0
