case,time_seconds,field,actual,expected,pass
addressed_data,19,hop_last_heard,19,19,1
addressed_data,20.001,active_at_equal_timeout,1,1,1
addressed_data,22.001,active_after_network_expiry,0,0,1
addressed_data,22.001,failures_after_expiry,0,0,1
overheard_data,19,hop_last_heard,19,19,1
overheard_data,20.001,active_at_equal_timeout,1,1,1
overheard_data,22.001,active_after_network_expiry,0,0,1
overheard_data,22.001,failures_after_expiry,0,0,1
addressed_ack,19,hop_last_heard,19,19,1
addressed_ack,20.001,active_at_equal_timeout,1,1,1
addressed_ack,22.001,active_after_network_expiry,0,0,1
addressed_ack,22.001,failures_after_expiry,0,0,1
overheard_ack,19,hop_last_heard,19,19,1
overheard_ack,20.001,active_at_equal_timeout,1,1,1
overheard_ack,22.001,active_after_network_expiry,0,0,1
overheard_ack,22.001,failures_after_expiry,0,0,1
discover_refreshes,22.001,active_at_22,1,1,1
discover_refreshes,38.001,active_before_next_qualifying_expiry,1,1,1
discover_refreshes,40.001,active_after_qualifying_expiry,0,0,1
first_routing_refreshes,22.001,active_at_22,1,1,1
first_routing_refreshes,38.001,active_before_next_qualifying_expiry,1,1,1
first_routing_refreshes,40.001,active_after_qualifying_expiry,0,0,1
duplicate_routing_does_not_refresh,22.001,active_at_22,1,1,1
duplicate_routing_does_not_refresh,24.001,active_before_next_qualifying_expiry,1,1,1
duplicate_routing_does_not_refresh,26.001,active_after_qualifying_expiry,0,0,1
qualified_check_ack_refreshes,22.001,active_at_22,1,1,1
qualified_check_ack_refreshes,38.001,active_before_next_qualifying_expiry,1,1,1
qualified_check_ack_refreshes,40.001,active_after_qualifying_expiry,0,0,1
obsolete_verify_ack_does_not_refresh,22.001,active_at_22,0,0,1
freshness_preserves_key_and_retry_state,22.001,discovery_sequence_valid,1,1,1
freshness_preserves_key_and_retry_state,22.001,received_key,1,1,1
freshness_preserves_key_and_retry_state,22.001,key_request_valid,1,1,1
freshness_preserves_key_and_retry_state,22.001,sent_key,1,1,1
freshness_preserves_key_and_retry_state,22.001,key_send_active,1,1,1
freshness_preserves_key_and_retry_state,22.001,key_send_valid,1,1,1
freshness_preserves_key_and_retry_state,22.001,overheard_valid,1,1,1
freshness_preserves_key_and_retry_state,22.001,key_request_delay,11,11,1
freshness_preserves_key_and_retry_state,22.001,key_send_delay,13,13,1
freshness_preserves_key_and_retry_state,22.001,overheard_delay,17,17,1
freshness_preserves_key_and_retry_state,22.001,failures,9,9,1
freshness_preserves_key_and_retry_state,22.001,admission_retry_pending,1,1,1
freshness_preserves_key_and_retry_state,22.001,expiry_chirp_count,1,1,1
qualified_completion_after_expiry,23,active,1,1,1
qualified_completion_after_expiry,23,failures_decremented_once,8,8,1
qualified_completion_after_expiry,23,admission_retry_canceled_on_activation,0,0,1
