schema,scenario,statistic,time_s,value,source,unit,aggregation,raw_value,value_status,source_file,source_file_sha256
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),60,1.974025974025974,opnet,packets,bucket_sample_mean,1.974025974025974,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),120,2.3199999999999998,opnet,packets,bucket_sample_mean,2.3199999999999998,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),180,1.6417322834645669,opnet,packets,bucket_sample_mean,1.6417322834645669,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),240,0.5,opnet,packets,bucket_sample_mean,0.5,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),300,,opnet,packets,bucket_sample_mean,2e+100,missing,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),360,5.8466386554621845,opnet,packets,bucket_sample_mean,5.8466386554621845,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),420,10.219088937093275,opnet,packets,bucket_sample_mean,10.219088937093275,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),480,10.325396825396826,opnet,packets,bucket_sample_mean,10.325396825396826,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),540,10.302702702702703,opnet,packets,bucket_sample_mean,10.302702702702703,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),600,10.294294294294295,opnet,packets,bucket_sample_mean,10.294294294294295,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),660,10.701754385964913,opnet,packets,bucket_sample_mean,10.701754385964913,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),720,10.057401812688822,opnet,packets,bucket_sample_mean,10.057401812688822,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),780,10.199999999999999,opnet,packets,bucket_sample_mean,10.199999999999999,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),840,10.626168224299066,opnet,packets,bucket_sample_mean,10.626168224299066,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),900,10.739255014326648,opnet,packets,bucket_sample_mean,10.739255014326648,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),960,10.817910447761195,opnet,packets,bucket_sample_mean,10.817910447761195,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),1020,10.449044585987261,opnet,packets,bucket_sample_mean,10.449044585987261,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),1080,10.291666666666666,opnet,packets,bucket_sample_mean,10.291666666666666,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),1140,9.863492063492064,opnet,packets,bucket_sample_mean,9.863492063492064,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
csr-aggregate-series-v1,blue_radio_campus-multihop,HOP.Resend Queue Size (packets),1200,10.938271604938272,opnet,packets,bucket_sample_mean,10.938271604938272,observed,blue_radio_campus-multihop-DES-1.ov,b643bee5c1d0260581a0135c0add5c87441bd98f70f66388fac0bf95096c39ee
