Scenario,Seed,DurationSeconds,Nodes,Generated,Received,Dropped,Pending,ApplicationBytesReceived,DeliveryRatio,GoodputBitsPerSecond,MeanLatencySeconds,LatencyP50Seconds,LatencyP95Seconds,LatencyP99Seconds,PhysicalTransmissions,PhysicalReceived,PhysicalDropped,PhysicalPending,HopPendingData,ResendQueueDepth,DackHoldCount,ControlPending,ControlPendingTargets,NwkPendingCustody,WaitingForRoute,ControlQueueRejections,RouteChanges,HopFailures,RuntimeSeconds,StructuralChecksPassed,DataDrained,ApplicationProfile,MATLABRelease,CaseId,Experiment,Parameter,Value
offered_load_x1_seed128,128,600,3,16,16,0,0,1024,1,13.6533333333333,1.45939641663771,1.55395266666685,2.90149266666776,2.90149266666776,272,369,175,0,0,0,0,0,0,0,0,0,15,0,10.3856331,1,1,current-send-only,2025a,offered_load_x1_seed128,offered_load,LoadMultiplier,1
offered_load_x1_seed129,129,600,3,16,16,0,0,1024,1,13.6533333333333,1.13114641663825,0.290492666605076,2.68049266666767,2.68049266666767,238,327,149,0,0,0,0,0,0,0,0,0,14,0,13.417973,1,1,current-send-only,2025a,offered_load_x1_seed129,offered_load,LoadMultiplier,1
offered_load_x1_seed130,130,600,3,16,16,0,0,1024,1,13.6533333333333,1.29445891663799,0.35549266660496,2.78449266666772,2.78449266666772,221,313,129,0,0,0,0,0,0,0,0,0,14,0,16.3679499,1,1,current-send-only,2025a,offered_load_x1_seed130,offered_load,LoadMultiplier,1
offered_load_x2_seed128,128,600,3,30,30,0,0,1920,1,25.6,1.25050799997225,0.337492666637104,2.50149266665733,2.90149266666776,351,502,200,0,0,0,0,0,0,0,0,0,15,0,17.885092,1,1,current-send-only,2025a,offered_load_x2_seed128,offered_load,LoadMultiplier,2
offered_load_x2_seed129,129,600,3,30,30,0,0,1920,1,25.6,1.16254133330555,0.35549266660496,2.68049266666767,4.62549266662143,310,444,176,0,0,0,0,0,0,0,0,0,14,0,12.3820781,1,1,current-send-only,2025a,offered_load_x2_seed129,offered_load,LoadMultiplier,2
offered_load_x2_seed130,130,600,3,30,30,0,0,1920,1,25.6,1.30597466663878,0.358492666669179,2.63949266658483,2.78449266666772,303,449,157,0,0,0,0,0,0,0,0,0,14,0,12.3447878,1,1,current-send-only,2025a,offered_load_x2_seed130,offered_load,LoadMultiplier,2
offered_load_x4_seed128,128,600,3,58,58,0,0,3712,1,49.4933333333333,1.37307852870801,0.792492666669631,2.60451266665729,4.78951266660522,398,552,244,0,0,0,0,0,0,0,0,0,15,0,12.970052,1,1,current-send-only,2025a,offered_load_x4_seed128,offered_load,LoadMultiplier,4
offered_load_x4_seed129,129,600,3,58,56,2,0,3584,0.96551724137931,47.7866666666667,1.3745437380681,0.374512666633166,4.62151266666172,4.77151266663736,372,517,227,0,0,0,0,0,0,0,0,0,14,2,12.0527877,1,1,current-send-only,2025a,offered_load_x4_seed129,offered_load,LoadMultiplier,4
offered_load_x4_seed130,130,600,3,58,57,1,0,3648,0.982758620689655,48.64,1.561948456112,0.973492666670609,4.71351266666557,4.9814926666686,351,497,205,0,0,0,0,0,0,0,0,0,14,1,23.5464954,1,1,current-send-only,2025a,offered_load_x4_seed130,offered_load,LoadMultiplier,4
recovery_freshness_s60_seed128,128,900,3,5,4,1,0,256,0.8,2.27555555555556,52.963092666711,35.1390926667115,102.541452666699,102.541452666699,722,836,608,0,0,0,0,0,0,0,0,0,124,1,31.3716928,1,1,current-send-only,2025a,recovery_freshness_s60_seed128,recovery_freshness,FreshnessTimeoutSeconds,60
recovery_freshness_s60_seed129,129,900,3,5,5,0,0,320,1,2.84444444444444,74.0608526667189,75.632012666723,138.9006126667,138.9006126667,713,819,607,0,0,0,0,0,0,0,0,0,113,0,23.8070267,1,1,current-send-only,2025a,recovery_freshness_s60_seed129,recovery_freshness,FreshnessTimeoutSeconds,60
recovery_freshness_s60_seed130,130,900,3,5,4,1,0,256,0.8,2.27555555555556,47.7896626666976,27.3164126666912,97.8474126666874,97.8474126666874,710,799,621,0,0,0,0,0,0,0,0,0,116,1,31.5202235,1,1,current-send-only,2025a,recovery_freshness_s60_seed130,recovery_freshness,FreshnessTimeoutSeconds,60
recovery_freshness_s180_seed128,128,900,3,5,2,3,0,128,0.4,1.13777777777778,17.3179126667119,2.84741266672108,31.7884126667028,31.7884126667028,445,530,360,0,0,0,0,0,0,0,0,0,50,3,15.7164882,1,1,current-send-only,2025a,recovery_freshness_s180_seed128,recovery_freshness,FreshnessTimeoutSeconds,180
recovery_freshness_s180_seed129,129,900,3,5,2,3,0,128,0.4,1.13777777777778,15.6471726667075,0.77661266671555,30.5177326666994,30.5177326666994,451,531,371,0,0,0,0,0,0,0,0,0,52,3,19.1795393,1,1,current-send-only,2025a,recovery_freshness_s180_seed129,recovery_freshness,FreshnessTimeoutSeconds,180
recovery_freshness_s180_seed130,130,900,3,5,2,3,0,128,0.4,1.13777777777778,13.546412666702,0.750612666715483,26.3422126666885,26.3422126666885,429,511,347,0,0,0,0,0,0,0,0,0,49,3,23.4701819,1,1,current-send-only,2025a,recovery_freshness_s180_seed130,recovery_freshness,FreshnessTimeoutSeconds,180
recovery_freshness_s300_seed128,128,900,3,5,2,3,0,128,0.4,1.13777777777778,1.77864266671543,0.676412666760484,2.88087266667037,2.88087266667037,327,416,238,0,0,1,0,1,1,0,0,0,20,3,12.0069184,1,0,current-send-only,2025a,recovery_freshness_s300_seed128,recovery_freshness,FreshnessTimeoutSeconds,300
recovery_freshness_s300_seed129,129,900,3,5,2,3,0,128,0.4,1.13777777777778,1.72894266671523,0.434012666759713,3.02387266667074,3.02387266667074,339,414,264,0,0,1,0,1,1,0,0,0,19,3,22.6197857,1,0,current-send-only,2025a,recovery_freshness_s300_seed129,recovery_freshness,FreshnessTimeoutSeconds,300
recovery_freshness_s300_seed130,130,900,3,5,2,3,0,128,0.4,1.13777777777778,1.7637426667153,0.607612666760133,2.91987266667047,2.91987266667047,321,401,241,0,0,1,0,1,1,0,0,0,20,3,13.7500382,1,0,current-send-only,2025a,recovery_freshness_s300_seed130,recovery_freshness,FreshnessTimeoutSeconds,300
