candidate,reference,statistic,unit,aggregation,time_s,candidate_value,reference_value,candidate_value_status,reference_value_status,candidate_raw_value,reference_raw_value,comparison_status,difference,relative_difference_percent
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,60.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,120.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,180.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,240.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,300.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,360.0,5.25,5.183333333333334,observed,observed,,,both_observed,0.06666666666666643,1.2861736334405098
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,420.0,2.6166666666666667,2.8333333333333335,observed,observed,,,both_observed,-0.21666666666666679,-7.647058823529415
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,480.0,2.35,2.783333333333333,observed,observed,,,both_observed,-0.4333333333333331,-15.568862275449094
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,540.0,2.533333333333333,2.6666666666666665,observed,observed,,,both_observed,-0.1333333333333333,-4.999999999999999
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,600.0,2.1666666666666665,2.533333333333333,observed,observed,,,both_observed,-0.3666666666666667,-14.473684210526317
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,660.0,2.316666666666667,2.066666666666667,observed,observed,,,both_observed,0.25,12.096774193548386
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,720.0,2.45,2.2333333333333334,observed,observed,,,both_observed,0.21666666666666679,9.701492537313436
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,780.0,2.5,2.2666666666666666,observed,observed,,,both_observed,0.2333333333333334,10.294117647058826
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,840.0,2.2,2.2666666666666666,observed,observed,,,both_observed,-0.06666666666666643,-2.941176470588225
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,900.0,2.1333333333333333,1.9333333333333333,observed,observed,,,both_observed,0.19999999999999996,10.344827586206893
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,960.0,2.6666666666666665,2.316666666666667,observed,observed,,,both_observed,0.34999999999999964,15.107913669064732
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1020.0,2.2333333333333334,2.25,observed,observed,,,both_observed,-0.016666666666666607,-0.740740740740738
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1080.0,2.033333333333333,2.0833333333333335,observed,observed,,,both_observed,-0.050000000000000266,-2.4000000000000123
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1140.0,1.9333333333333333,2.0,observed,observed,,,both_observed,-0.06666666666666665,-3.3333333333333326
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1200.0,2.183333333333333,2.1166666666666667,observed,observed,,,both_observed,0.06666666666666643,3.1496062992125875
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1260.0,2.0833333333333335,2.1,observed,observed,,,both_observed,-0.016666666666666607,-0.7936507936507908
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1320.0,1.85,1.9666666666666666,observed,observed,,,both_observed,-0.11666666666666647,-5.932203389830499
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1380.0,2.05,2.1166666666666667,observed,observed,,,both_observed,-0.06666666666666687,-3.149606299212608
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1440.0,2.05,1.8166666666666667,observed,observed,,,both_observed,0.23333333333333317,12.844036697247699
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1500.0,2.05,2.1,observed,observed,,,both_observed,-0.050000000000000266,-2.380952380952394
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1560.0,2.1333333333333333,1.9166666666666667,observed,observed,,,both_observed,0.21666666666666656,11.304347826086952
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1620.0,2.15,2.1,observed,observed,,,both_observed,0.04999999999999982,2.3809523809523725
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1680.0,2.1666666666666665,2.0,observed,observed,,,both_observed,0.16666666666666652,8.333333333333325
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1740.0,2.15,2.55,observed,observed,,,both_observed,-0.3999999999999999,-15.68627450980392
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1800.0,2.0833333333333335,2.15,observed,observed,,,both_observed,-0.06666666666666643,-3.1007751937984387
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1860.0,1.9833333333333334,2.1,observed,observed,,,both_observed,-0.1166666666666667,-5.555555555555556
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1920.0,1.9666666666666666,1.9666666666666666,observed,observed,,,both_observed,0.0,0.0
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1980.0,2.25,2.066666666666667,observed,observed,,,both_observed,0.18333333333333313,8.870967741935473
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2040.0,2.1166666666666667,2.1333333333333333,observed,observed,,,both_observed,-0.016666666666666607,-0.7812499999999972
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2100.0,2.0,1.8833333333333333,observed,observed,,,both_observed,0.1166666666666667,6.194690265486727
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2160.0,2.0166666666666666,2.2666666666666666,observed,observed,,,both_observed,-0.25,-11.029411764705882
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2220.0,1.9833333333333334,2.066666666666667,observed,observed,,,both_observed,-0.08333333333333348,-4.032258064516136
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2280.0,1.8666666666666667,1.8666666666666667,observed,observed,,,both_observed,0.0,0.0
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2340.0,2.183333333333333,1.9833333333333334,observed,observed,,,both_observed,0.19999999999999973,10.084033613445364
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2400.0,2.0,2.2,observed,observed,,,both_observed,-0.20000000000000018,-9.090909090909099
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2460.0,2.0,1.95,observed,observed,,,both_observed,0.050000000000000044,2.5641025641025665
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2520.0,2.1333333333333333,2.3,observed,observed,,,both_observed,-0.16666666666666652,-7.246376811594198
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2580.0,2.283333333333333,2.0833333333333335,observed,observed,,,both_observed,0.19999999999999973,9.599999999999987
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2640.0,2.2333333333333334,2.15,observed,observed,,,both_observed,0.08333333333333348,3.875968992248069
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2700.0,2.05,1.9333333333333333,observed,observed,,,both_observed,0.11666666666666647,6.03448275862068
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2760.0,2.0166666666666666,2.0833333333333335,observed,observed,,,both_observed,-0.06666666666666687,-3.20000000000001
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2820.0,2.283333333333333,2.35,observed,observed,,,both_observed,-0.06666666666666687,-2.836879432624122
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2880.0,2.1,2.25,observed,observed,,,both_observed,-0.1499999999999999,-6.6666666666666625
