candidate,reference,statistic,unit,aggregation,aligned_bucket_count,numeric_pair_count,exact_numeric_difference_count,candidate_observed_bucket_count,reference_observed_bucket_count,candidate_observed_bucket_mean,reference_observed_bucket_mean,observed_bucket_mean_difference,observed_bucket_mean_relative_difference_percent,paired_candidate_bucket_mean,paired_reference_bucket_mean,paired_bucket_mean_difference,paired_bucket_mean_relative_difference_percent,maximum_absolute_bucket_difference,both_missing_count,candidate_missing_only_count,reference_missing_only_count
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,100,100,90,100,100,2.0636666666666668,2.0695,-0.005833333333333357,-0.28187162760731366,2.0636666666666668,2.0695,-0.005833333333333357,-0.28187162760731366,0.5833333333333335,0,0,0
matlab,ns3,Generator.Traffic Sent (bits/sec),bits/s,bucket_sum_per_second,100,100,90,100,100,3169.792,3178.752,-8.960000000000036,-0.2818716276073137,3169.792,3178.752,-8.960000000000036,-0.2818716276073137,896.0,0,0,0
matlab,ns3,Generator.Packet Size (bits),bits,bucket_sample_mean,100,95,0,95,95,1536.0,1536.0,0.0,0.0,1536.0,1536.0,0.0,0.0,0.0,5,0,0
matlab,ns3,Sink.Traffic Received (packets/sec),packets/s,bucket_sum_per_second,100,100,94,100,100,1.9545,1.9615,-0.007000000000000117,-0.3568697425439774,1.9545,1.9615,-0.007000000000000117,-0.3568697425439774,0.3999999999999999,0,0,0
matlab,ns3,Sink.Traffic Received (packets),packets,bucket_sum,100,100,94,100,100,117.27,117.69,-0.4200000000000017,-0.3568697425439729,117.27,117.69,-0.4200000000000017,-0.3568697425439729,24.0,0,0,0
matlab,ns3,Sink.Traffic Received (bits/sec),bits/s,bucket_sum_per_second,100,100,94,100,100,3002.112,3012.864,-10.751999999999953,-0.35686974254396986,3002.112,3012.864,-10.751999999999953,-0.35686974254396986,614.3999999999996,0,0,0
matlab,ns3,Sink.Traffic Received (bits),bits,bucket_sum,100,100,94,100,100,180126.72,180771.84,-645.1199999999953,-0.35686974254396886,180126.72,180771.84,-645.1199999999953,-0.35686974254396886,36864.0,0,0,0
matlab,ns3,Sink.End-to-End Delay (seconds),s,bucket_sample_mean,100,95,95,95,95,102.94187968857774,103.18100582955141,-0.23912614097366713,-0.2317540317146051,102.94187968857774,103.18100582955141,-0.23912614097366713,-0.2317540317146051,140.46792412368256,5,0,0
matlab,opnet,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,100,100,90,100,100,2.0636666666666668,2.012,0.05166666666666675,2.567925778661369,2.0636666666666668,2.012,0.05166666666666675,2.567925778661369,0.583333333333333,0,0,0
matlab,opnet,Generator.Traffic Sent (bits/sec),bits/s,bucket_sum_per_second,100,100,90,100,100,3169.792,3090.4320000000002,79.35999999999967,2.5679257786613543,3169.792,3090.4320000000002,79.35999999999967,2.5679257786613543,896.0,0,0,0
matlab,opnet,Generator.Packet Size (bits),bits,bucket_sample_mean,100,95,0,95,95,1536.0,1536.0,0.0,0.0,1536.0,1536.0,0.0,0.0,0.0,5,0,0
