case_id,simulator,flow_index,source,configured_destination,attempts,admitted,delivered,made_progress
campus_multihop_6000,matlab,1,2,1,285000,506,395,True
campus_multihop_6000,matlab,2,3,1,285000,8608,8593,True
campus_multihop_6000,matlab,3,4,1,285000,566,454,True
campus_multihop_6000,matlab,4,5,1,285000,1309,1285,True
campus_multihop_6000,matlab,5,7,1,285000,832,617,True
campus_multihop_6000,matlab,6,8,1,285000,561,383,True
campus_multihop_6000,ns3,1,2,1,285000,547,410,True
campus_multihop_6000,ns3,2,3,1,285000,8551,8535,True
campus_multihop_6000,ns3,3,4,1,285000,498,419,True
campus_multihop_6000,ns3,4,5,1,285000,1397,1369,True
campus_multihop_6000,ns3,5,7,1,285000,803,574,True
campus_multihop_6000,ns3,6,8,1,285000,621,462,True
two_node_admission_1200,matlab,1,2,1,45000,11395,11385,True
two_node_admission_1200,ns3,1,2,1,45000,11380,11364,True
three_node_contention_360,matlab,1,2,1,30000,493,477,True
three_node_contention_360,matlab,2,3,1,30000,461,451,True
three_node_contention_360,ns3,1,2,1,30000,460,444,True
three_node_contention_360,ns3,2,3,1,30000,486,470,True
