schema,scenario,statistic,time_s,value,source,unit,aggregation,raw_value,value_status,source_file,source_file_sha256
csr-aggregate-series-v1,tranche8-three-node-contention-s130,Generator.Traffic Sent (packets/sec),3.6000000000000001,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,674d6c07c2aca8a4a01fedc50494f6bbedf730b1c0fe92b62fc637e42a6500e7
csr-aggregate-series-v1,tranche8-three-node-contention-s130,Generator.Traffic Sent (packets/sec),7.2000000000000002,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,674d6c07c2aca8a4a01fedc50494f6bbedf730b1c0fe92b62fc637e42a6500e7
csr-aggregate-series-v1,tranche8-three-node-contention-s130,Generator.Traffic Sent (packets/sec),10.800000000000001,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,674d6c07c2aca8a4a01fedc50494f6bbedf730b1c0fe92b62fc637e42a6500e7
csr-aggregate-series-v1,tranche8-three-node-contention-s130,Generator.Traffic Sent (packets/sec),14.4,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,674d6c07c2aca8a4a01fedc50494f6bbedf730b1c0fe92b62fc637e42a6500e7
csr-aggregate-series-v1,tranche8-three-node-contention-s130,Generator.Traffic Sent (packets/sec),18,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,674d6c07c2aca8a4a01fedc50494f6bbedf730b1c0fe92b62fc637e42a6500e7
csr-aggregate-series-v1,tranche8-three-node-contention-s130,Generator.Traffic Sent (packets/sec),21.600000000000001,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,674d6c07c2aca8a4a01fedc50494f6bbedf730b1c0fe92b62fc637e42a6500e7
csr-aggregate-series-v1,tranche8-three-node-contention-s130,Generator.Traffic Sent (packets/sec),25.199999999999999,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,674d6c07c2aca8a4a01fedc50494f6bbedf730b1c0fe92b62fc637e42a6500e7
csr-aggregate-series-v1,tranche8-three-node-contention-s130,Generator.Traffic Sent (packets/sec),28.800000000000001,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,674d6c07c2aca8a4a01fedc50494f6bbedf730b1c0fe92b62fc637e42a6500e7
csr-aggregate-series-v1,tranche8-three-node-contention-s130,Generator.Traffic Sent (packets/sec),32.399999999999999,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,674d6c07c2aca8a4a01fedc50494f6bbedf730b1c0fe92b62fc637e42a6500e7
csr-aggregate-series-v1,tranche8-three-node-contention-s130,Generator.Traffic Sent (packets/sec),36,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,674d6c07c2aca8a4a01fedc50494f6bbedf730b1c0fe92b62fc637e42a6500e7
