schema,scenario,statistic,time_s,value,source,unit,aggregation,raw_value,value_status,source_file,source_file_sha256
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),12,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),24,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),36,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),48,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),60,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),72,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),84,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),96,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),108,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),120,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),132,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),144,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),156,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),168,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),180,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),192,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),204,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),216,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),228,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),240,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),252,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),264,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),276,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),288,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),300,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),312,9.1666666666666661,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),324,13.333333333333334,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
csr-aggregate-series-v1,tranche8-two-node-admission-s132,Generator.Traffic Sent (packets/sec),336,12.416666666666666,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,649f75efbae84f0c5169dff1492b208d31b3c0c38ccd0b3da19965b337179a59
