candidate,reference,statistic,unit,aggregation,time_s,candidate_value,reference_value,candidate_value_status,reference_value_status,candidate_raw_value,reference_raw_value,comparison_status,difference,relative_difference_percent
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,12.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,24.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,36.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,48.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,60.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,72.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,84.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,96.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,108.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,120.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,132.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,144.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,156.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,168.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,180.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,192.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,204.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,216.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,228.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,240.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,252.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,264.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,276.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,288.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,300.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,312.0,9.666666666666666,9.166666666666666,observed,observed,,,both_observed,0.5,5.454545454545455
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,324.0,12.333333333333334,13.333333333333334,observed,observed,,,both_observed,-1.0,-7.5
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,336.0,14.0,12.416666666666666,observed,observed,,,both_observed,1.583333333333334,12.751677852349
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,348.0,12.0,12.333333333333334,observed,observed,,,both_observed,-0.3333333333333339,-2.7027027027027075
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,360.0,13.0,12.5,observed,observed,,,both_observed,0.5,4.0
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,372.0,13.666666666666666,13.0,observed,observed,,,both_observed,0.6666666666666661,5.128205128205124
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,384.0,12.75,13.083333333333334,observed,observed,,,both_observed,-0.3333333333333339,-2.547770700636947
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,396.0,12.75,11.083333333333334,observed,observed,,,both_observed,1.666666666666666,15.037593984962399
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,408.0,13.0,12.916666666666666,observed,observed,,,both_observed,0.08333333333333393,0.6451612903225853
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,420.0,12.583333333333334,13.166666666666666,observed,observed,,,both_observed,-0.5833333333333321,-4.430379746835434
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,432.0,12.416666666666666,12.166666666666666,observed,observed,,,both_observed,0.25,2.0547945205479454
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,444.0,12.5,12.583333333333334,observed,observed,,,both_observed,-0.08333333333333393,-0.6622516556291438
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,456.0,14.0,13.75,observed,observed,,,both_observed,0.25,1.8181818181818181
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,468.0,11.25,12.916666666666666,observed,observed,,,both_observed,-1.666666666666666,-12.90322580645161
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,480.0,12.333333333333334,13.583333333333334,observed,observed,,,both_observed,-1.25,-9.202453987730062
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,492.0,12.416666666666666,13.0,observed,observed,,,both_observed,-0.5833333333333339,-4.487179487179492
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,504.0,12.083333333333334,12.666666666666666,observed,observed,,,both_observed,-0.5833333333333321,-4.605263157894727
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,516.0,13.583333333333334,12.25,observed,observed,,,both_observed,1.333333333333334,10.884353741496604
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,528.0,12.5,11.25,observed,observed,,,both_observed,1.25,11.11111111111111
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,540.0,13.666666666666666,13.666666666666666,observed,observed,,,both_observed,0.0,0.0
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,552.0,12.5,11.833333333333334,observed,observed,,,both_observed,0.6666666666666661,5.633802816901403
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,564.0,12.916666666666666,11.916666666666666,observed,observed,,,both_observed,1.0,8.391608391608392
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,576.0,13.5,13.416666666666666,observed,observed,,,both_observed,0.08333333333333393,0.6211180124223648
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,588.0,13.333333333333334,12.0,observed,observed,,,both_observed,1.333333333333334,11.111111111111116
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,600.0,12.166666666666666,12.916666666666666,observed,observed,,,both_observed,-0.75,-5.806451612903226
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,612.0,13.666666666666666,13.25,observed,observed,,,both_observed,0.4166666666666661,3.14465408805031
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,624.0,12.666666666666666,12.166666666666666,observed,observed,,,both_observed,0.5,4.109589041095891
