simulator,case_id,base_case_id,seed,duration_s,attempts,admitted,admission_blocked,delivered,delivered_unique,duplicate_delivery_events,unmatched_sends,explicit_drops,pending,network_bytes_sent,network_bytes_received,delay_samples,delay_sum_s,mean_packet_latency_s,max_packet_latency_s,populated_delay_buckets,bucket_latency_mean_sum_s,mean_populated_bucket_latency_s,received_packet_rate_over_full_window
matlab,two_node_admission_1200_s128,two_node_admission_1200,128,1200.0,45000,11395,33605,11385,11385,0,10,0,10,6745840,6739920,11385,10675.966402238737,0.9377221258005038,4.748723999991,75,70.6942095044377,0.9425894600591692,9.4875
ns3,two_node_admission_1200_s128,two_node_admission_1200,128,1200.0,45000,11380,33620,11364,11364,0,16,,,6736960,6727488,11364,10713.633955999989,0.942769619500175,4.293724000000054,75,71.0633120269368,0.947510827025824,9.47
matlab,three_node_contention_360_s128,three_node_contention_360,128,360.0,60000,954,59046,928,928,0,26,0,26,564768,549376,928,1522.5430319468842,1.6406713706324183,6.766723999988017,17,29.35942332259922,1.727024901329366,2.577777777777778
ns3,three_node_contention_360_s128,three_node_contention_360,128,360.0,60000,946,59054,914,914,0,32,,,560032,541088,914,1549.0888160000009,1.6948455317286661,9.40572400000002,17,32.54608225413618,1.914475426713893,2.5388888888888888
matlab,two_node_admission_1200_s129,two_node_admission_1200,129,1200.0,45000,11358,33642,11354,11354,0,4,0,4,6723936,6721568,11354,10548.1058781923,0.9290211271967853,4.644723999992038,75,70.11793145718849,0.9349057527625132,9.461666666666666
ns3,two_node_admission_1200_s129,two_node_admission_1200,129,1200.0,45000,11234,33766,11227,11227,0,7,,,6650528,6646384,11227,10775.197447999995,0.9597574995991801,4.65772400000003,75,72.25062396472156,0.963341652862954,9.355833333333333
matlab,three_node_contention_360_s129,three_node_contention_360,129,360.0,60000,980,59020,948,948,0,32,0,32,580160,561216,948,1519.2543119454808,1.602588936651351,7.156723999988003,17,29.113743763498398,1.7125731625587293,2.6333333333333333
ns3,three_node_contention_360_s129,three_node_contention_360,129,360.0,60000,854,59146,822,822,0,32,,,505568,486624,822,1577.159847999998,1.918685946472017,13.896704,17,39.58978010321478,2.3288105943067516,2.283333333333333
matlab,two_node_admission_1200_s130,two_node_admission_1200,130,1200.0,45000,11326,33674,11315,11315,0,11,0,11,6704992,6698480,11315,10702.472962224978,0.9458659268426848,4.228723999992042,75,71.28318617347253,0.950442482312967,9.429166666666667
ns3,two_node_admission_1200_s130,two_node_admission_1200,130,1200.0,45000,11412,33588,11396,11396,0,16,,,6755904,6746432,11396,10708.578243999997,0.9396786805896803,5.190724000000046,75,71.04185231127649,0.9472246974836864,9.496666666666666
matlab,three_node_contention_360_s130,three_node_contention_360,130,360.0,60000,926,59074,894,894,0,32,0,32,548192,529248,894,1587.378135946979,1.7755907560928177,9.080723999984002,17,33.46711775154717,1.9686539853851277,2.4833333333333334
ns3,three_node_contention_360_s130,three_node_contention_360,130,360.0,60000,948,59052,916,916,0,32,,,561216,542272,916,1520.2360640000038,1.6596463580786067,8.612724000000014,17,32.21848666205529,1.8952050977679582,2.5444444444444443
matlab,two_node_admission_1200_s131,two_node_admission_1200,131,1200.0,45000,11265,33735,11249,11249,0,16,0,16,6668880,6659408,11249,10629.900018236374,0.9449639984208706,7.296723999987023,75,71.93290035531123,0.9591053380708164,9.374166666666667
ns3,two_node_admission_1200_s131,two_node_admission_1200,131,1200.0,45000,11334,33666,11330,11330,0,4,,,6709728,6707360,11330,10574.37786,0.9333078428949692,4.163724000000002,75,70.38271189075107,0.9384361585433476,9.441666666666666
matlab,three_node_contention_360_s131,three_node_contention_360,131,360.0,60000,927,59073,895,895,0,32,0,32,548784,529840,895,1535.3116599465498,1.7154320222866477,9.431723999983035,17,33.272641799760656,1.9572142235153327,2.486111111111111
ns3,three_node_contention_360_s131,three_node_contention_360,131,360.0,60000,903,59097,883,883,0,20,,,534576,522736,883,1568.2216120000003,1.7760154156285395,9.912724000000026,17,35.71456284685447,2.100856638050263,2.452777777777778
matlab,two_node_admission_1200_s132,two_node_admission_1200,132,1200.0,45000,11369,33631,11359,11359,0,10,0,10,6730448,6724528,11359,10588.431858205857,0.9321623257510218,4.579723999992041,75,70.32264816929353,0.9376353089239138,9.465833333333334
ns3,two_node_admission_1200_s132,two_node_admission_1200,132,1200.0,45000,11383,33617,11375,11375,0,8,,,6738736,6734000,11375,10575.736120000009,0.9297350435164843,4.462724000000037,75,70.09063720533892,0.9345418294045189,9.479166666666666
matlab,three_node_contention_360_s132,three_node_contention_360,132,360.0,60000,949,59051,917,917,0,32,0,32,561808,542864,917,1552.4388279466757,1.6929540108469745,8.742723999985003,17,31.548201794239283,1.8557765761317224,2.547222222222222
ns3,three_node_contention_360_s132,three_node_contention_360,132,360.0,60000,952,59048,920,920,0,32,,,563584,544640,920,1521.011,1.6532728260869565,10.081724000000008,17,32.34364616462861,1.9025674214487418,2.5555555555555554
