schema,scenario,statistic,time_s,value,source,unit,aggregation,raw_value,value_status,source_file,source_file_sha256
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),12,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),24,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),36,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),48,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),60,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),72,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),84,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),96,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),108,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),120,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),132,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),144,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),156,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),168,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),180,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),192,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),204,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),216,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),228,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),240,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),252,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),264,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),276,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),288,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),300,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
csr-aggregate-series-v1,tranche8-two-node-admission-s129,Generator.Traffic Sent (packets/sec),312,10.5,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,e073e021d8fd0e89fd34044f93b7dfaf8d23e41626a1727984c60fb61cca9578
