schema,stage,time_s,node_id,peer_id,frame_type,hop_sequence,decision_id,packet_uid,has_ack_window,ack_bitmap,dack_bitmap,selected_rate_key_kbps,selected_rate_bps,selected_power_dbm,advertised_rx_power_dbm,peer_known,peer_s0_dbm,path_loss_db,hop_failure_count,min_rate_key_kbps,max_rate_key_kbps,min_power_dbm,max_power_dbm,link_margin_db,incoming_rate_key_kbps,incoming_rate_bps,incoming_power_dbm,actual_rate_key_kbps,actual_rate_bps,actual_power_dbm,aggregate_id,segment_index,segment_count
csr-ns3-feedback-observation-v1,feedback_selection,12.000064,2,1,ACK,1,1,6,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,12.000064,3,1,ACK,1,2,9,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,12.012,2,1,ACK,1,1,6,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934594,1,2
csr-ns3-feedback-observation-v1,feedback_selection,12.036844,1,2,ACK,2,3,13,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,12.180999999999999,2,1,ACK,1,1,6,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934595,1,1
csr-ns3-feedback-observation-v1,ota_segment,12.233000000000001,1,2,ACK,2,3,13,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967299,1,3
csr-ns3-feedback-observation-v1,feedback_selection,12.256164,2,1,ACK,3,4,21,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,12.285,3,1,ACK,1,2,9,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901890,1,2
csr-ns3-feedback-observation-v1,feedback_selection,12.309844,1,3,ACK,2,5,23,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,12.401999999999999,2,1,ACK,1,1,6,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934596,1,4
csr-ns3-feedback-observation-v1,ota_segment,12.401999999999999,2,1,ACK,3,4,21,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934596,2,4
csr-ns3-feedback-observation-v1,feedback_selection,12.426544,1,2,ACK,3,6,27,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,12.426544,1,2,ACK,4,7,29,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,12.428000000000001,2,1,ACK,1,1,6,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934597,1,2
csr-ns3-feedback-observation-v1,ota_segment,12.428000000000001,2,1,ACK,3,4,21,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934597,2,2
csr-ns3-feedback-observation-v1,ota_segment,12.467000000000001,3,1,ACK,1,2,9,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901891,1,1
csr-ns3-feedback-observation-v1,ota_segment,12.519,3,1,ACK,1,2,9,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901892,1,1
csr-ns3-feedback-observation-v1,ota_segment,12.675000000000001,1,2,ACK,2,3,13,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967300,1,8
csr-ns3-feedback-observation-v1,ota_segment,12.675000000000001,1,3,ACK,2,5,23,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967300,2,8
csr-ns3-feedback-observation-v1,ota_segment,12.675000000000001,1,2,ACK,3,6,27,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967300,3,8
csr-ns3-feedback-observation-v1,ota_segment,12.675000000000001,1,2,ACK,4,7,29,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967300,4,8
csr-ns3-feedback-observation-v1,feedback_selection,12.707284,2,1,ACK,4,8,37,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,12.707284,2,1,ACK,5,9,39,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,12.707284,3,1,ACK,3,10,45,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,12.727,2,1,ACK,1,1,6,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934598,1,6
csr-ns3-feedback-observation-v1,ota_segment,12.727,2,1,ACK,3,4,21,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934598,2,6
csr-ns3-feedback-observation-v1,ota_segment,12.727,2,1,ACK,4,8,37,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934598,3,6
csr-ns3-feedback-observation-v1,ota_segment,12.727,2,1,ACK,5,9,39,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,8589934598,4,6
csr-ns3-feedback-observation-v1,feedback_selection,12.757844,1,2,ACK,5,11,53,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,12.757844,1,2,ACK,6,12,55,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,12.869999999999999,3,1,ACK,1,2,9,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901893,1,4
csr-ns3-feedback-observation-v1,ota_segment,12.869999999999999,3,1,ACK,3,10,45,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901893,2,4
