case,source,destination,t8_admitted,t9_admitted,ns3_admitted,t8_delivered,t9_delivered,ns3_delivered,t9_ns3_gap,gap_percent,t9_early_delivered,ns3_early_delivered,t9_first_delivery_s,ns3_first_delivery_s
c129,2,1,526,526,369,510,510,353,157,44.475920679886684,152,35,302.519103999997,301.401104
c129,3,1,454,454,485,438,438,469,-31,-6.609808102345416,108,129,301.375103999999,302.493104
c128,2,1,493,493,460,477,477,444,33,7.432432432432434,133,100,302.688103999997,301.557104
c128,3,1,461,461,486,451,451,470,-19,-4.042553191489362,121,122,301.583103999999,302.649104
c130,2,1,465,465,473,449,449,457,-8,-1.7505470459518557,122,113,302.714103999997,301.596104
c130,3,1,461,461,475,445,445,459,-14,-3.05010893246187,93,121,301.427103999999,302.753104
c131,2,1,458,458,433,442,442,417,25,5.995203836930463,104,102,301.557103999999,302.532104
c131,3,1,469,469,470,453,453,466,-13,-2.7896995708154515,107,105,302.623103999997,301.453104
c132,2,1,446,446,467,430,430,451,-21,-4.6563192904656265,104,118,302.467103999997,302.779104
c132,3,1,503,503,485,487,487,469,18,3.837953091684443,129,105,301.362103999999,301.674104
a129,2,1,11358,11358,11234,11354,11354,11227,127,1.1312015676494092,212,216,301.635103999999,301.726104
