case,node,ordinal,min,max,draw
ok,1,1,0,31,1
ok,1,2,0,31,1
ok,1,3,0,31,1
ok,1,4,0,31,1
ok,1,5,0,31,1
ok,1,6,0,31,1
ok,1,7,0,31,1
ok,1,8,0,31,1
ok,1,9,0,31,1
ok,1,10,0,31,1
ok,1,11,0,31,1
ok,1,12,0,31,1
ok,1,13,0,31,1
ok,1,14,0,31,1
ok,1,15,0,31,1
ok,1,16,0,31,1
ok,1,17,0,31,1
ok,1,18,0,31,1
ok,1,19,0,31,1
ok,1,20,0,31,1
ok,1,21,0,31,1
ok,1,22,0,31,1
ok,1,23,0,31,1
ok,1,24,0,31,1
ok,1,25,0,31,1
ok,1,26,0,31,1
ok,1,27,0,31,1
ok,1,28,0,31,1
ok,1,29,0,31,1
ok,1,30,0,31,1
ok,1,31,0,31,1
ok,1,32,0,31,1
ok,1,33,0,31,1
ok,1,34,0,31,1
ok,1,35,0,31,1
ok,1,36,0,31,1
ok,1,37,0,31,1
ok,1,38,0,31,1
ok,1,39,0,31,1
ok,1,40,0,31,1
ok,1,41,0,31,1
ok,1,42,0,31,1
ok,1,43,0,31,1
ok,1,44,0,31,1
ok,1,45,0,31,1
ok,1,46,0,31,1
ok,1,47,0,31,1
ok,1,48,0,31,1
ok,1,49,0,31,1
ok,1,50,0,31,1
ok,1,51,0,31,1
ok,1,52,0,31,1
ok,1,53,0,31,1
ok,1,54,0,31,1
ok,1,55,0,31,1
ok,1,56,0,31,1
ok,1,57,0,31,1
ok,1,58,0,31,1
ok,1,59,0,31,1
ok,1,60,0,31,1
ok,1,61,0,31,1
ok,1,62,0,31,1
ok,1,63,0,31,1
ok,1,64,0,31,1
ok,1,65,0,31,1
ok,1,66,0,31,1
ok,1,67,0,31,1
ok,1,68,0,31,1
ok,1,69,0,31,1
ok,1,70,0,31,1
ok,1,71,0,31,1
ok,1,72,0,31,1
ok,1,73,0,31,1
ok,1,74,0,31,1
ok,1,75,0,31,1
ok,1,76,0,31,1
ok,1,77,0,31,1
ok,1,78,0,31,1
ok,1,79,0,31,1
ok,1,80,0,31,1
ok,1,81,0,31,1
ok,1,82,0,31,1
ok,1,83,0,31,1
ok,1,84,0,31,1
ok,1,85,0,31,1
ok,1,86,0,31,1
ok,1,87,0,31,1
ok,1,88,0,31,1
ok,1,89,0,31,1
ok,1,90,0,31,1
ok,1,91,0,31,1
ok,1,92,0,31,1
ok,1,93,0,31,1
ok,1,94,0,31,1
ok,1,95,0,31,1
ok,1,96,0,31,1
ok,1,97,0,31,1
ok,1,98,0,31,1
ok,1,99,0,31,1
ok,1,100,0,31,1
ok,1,101,0,31,1
ok,1,102,0,31,1
ok,1,103,0,31,1
ok,1,104,0,31,1
ok,1,105,0,31,1
ok,1,106,0,31,1
ok,1,107,0,31,1
ok,1,108,0,31,1
ok,1,109,0,31,1
ok,1,110,0,31,1
ok,1,111,0,31,1
ok,1,112,0,31,1
ok,1,113,0,31,1
ok,1,114,0,31,1
ok,1,115,0,31,1
ok,1,116,0,31,1
ok,1,117,0,31,1
ok,1,118,0,31,1
ok,1,119,0,31,1
ok,1,120,0,31,1
ok,1,121,0,31,1
ok,1,122,0,31,1
ok,1,123,0,31,1
ok,1,124,0,31,1
ok,1,125,0,31,1
ok,1,126,0,31,1
ok,1,127,0,31,1
ok,1,128,0,31,1
ok,1,129,0,31,1
ok,1,130,0,31,1
ok,1,131,0,31,1
ok,1,132,0,31,1
ok,1,133,0,31,1
ok,1,134,0,31,1
ok,1,135,0,31,1
ok,1,136,0,31,1
ok,1,137,0,31,1
ok,1,138,0,31,1
ok,1,139,0,31,1
ok,1,140,0,31,1
ok,1,141,0,31,1
ok,1,142,0,31,1
ok,1,143,0,31,1
ok,1,144,0,31,1
ok,1,145,0,31,1
ok,1,146,0,31,1
ok,1,147,0,31,1
ok,1,148,0,31,1
ok,1,149,0,31,1
ok,1,150,0,31,1
ok,1,151,0,31,1
ok,1,152,0,31,1
ok,1,153,0,31,1
ok,1,154,0,31,1
ok,1,155,0,31,1
ok,1,156,0,31,1
ok,1,157,0,31,1
ok,1,158,0,31,1
ok,1,159,0,31,1
ok,1,160,0,31,1
ok,1,161,0,31,1
ok,1,162,0,31,1
ok,1,163,0,31,1
ok,1,164,0,31,1
ok,1,165,0,31,1
ok,1,166,0,31,1
ok,1,167,0,31,1
ok,1,168,0,31,1
ok,1,169,0,31,1
ok,1,170,0,31,1
ok,1,171,0,31,1
ok,1,172,0,31,1
ok,1,173,0,31,1
ok,1,174,0,31,1
ok,1,175,0,31,1
ok,1,176,0,31,1
ok,1,177,0,31,1
ok,1,178,0,31,1
ok,1,179,0,31,1
ok,1,180,0,31,1
ok,1,181,0,31,1
ok,1,182,0,31,1
ok,1,183,0,31,1
ok,1,184,0,31,1
ok,1,185,0,31,1
ok,1,186,0,31,1
ok,1,187,0,31,1
ok,1,188,0,31,1
ok,1,189,0,31,1
ok,1,190,0,31,1
ok,1,191,0,31,1
ok,1,192,0,31,1
ok,1,193,0,31,1
ok,1,194,0,31,1
ok,1,195,0,31,1
ok,1,196,0,31,1
ok,1,197,0,31,1
ok,1,198,0,31,1
ok,1,199,0,31,1
ok,1,200,0,31,1
ok,1,201,0,31,1
ok,1,202,0,31,1
ok,1,203,0,31,1
ok,1,204,0,31,1
ok,1,205,0,31,1
ok,1,206,0,31,1
ok,1,207,0,31,1
ok,1,208,0,31,1
ok,1,209,0,31,1
ok,1,210,0,31,1
ok,1,211,0,31,1
ok,1,212,0,31,1
ok,1,213,0,31,1
ok,1,214,0,31,1
ok,1,215,0,31,1
ok,1,216,0,31,1
ok,1,217,0,31,1
ok,1,218,0,31,1
ok,1,219,0,31,1
ok,1,220,0,31,1
ok,1,221,0,31,1
ok,1,222,0,31,1
ok,1,223,0,31,1
ok,1,224,0,31,1
ok,1,225,0,31,1
ok,1,226,0,31,1
ok,1,227,0,31,1
ok,1,228,0,31,1
ok,1,229,0,31,1
ok,1,230,0,31,1
ok,1,231,0,31,1
ok,1,232,0,31,1
ok,1,233,0,31,1
ok,1,234,0,31,1
ok,1,235,0,31,1
ok,1,236,0,31,1
ok,1,237,0,31,1
ok,1,238,0,31,1
ok,1,239,0,31,1
ok,1,240,0,31,1
ok,1,241,0,31,1
ok,1,242,0,31,1
ok,1,243,0,31,1
ok,1,244,0,31,1
ok,1,245,0,31,1
ok,1,246,0,31,1
ok,1,247,0,31,1
ok,1,248,0,31,1
ok,1,249,0,31,1
ok,1,250,0,31,1
ok,1,251,0,31,1
ok,1,252,0,31,1
ok,1,253,0,31,1
ok,1,254,0,31,1
ok,1,255,0,31,1
ok,1,256,0,31,1
ok,1,257,0,31,1
ok,1,258,0,31,1
ok,1,259,0,31,1
ok,1,260,0,31,1
ok,1,261,0,31,1
ok,1,262,0,31,1
ok,1,263,0,31,1
ok,1,264,0,31,1
