case,node,ordinal,min,max,draw
ab,1,1,0,31,1
ab,1,2,0,31,1
ab,1,3,0,31,1
ab,1,4,0,31,1
ab,1,5,0,31,1
ab,1,6,0,31,1
ab,1,7,0,31,1
ab,1,8,0,31,1
ab,1,9,0,31,1
ab,1,10,0,31,1
ab,1,11,0,31,1
ab,1,12,0,31,1
ab,1,13,0,31,1
ab,1,14,0,31,1
ab,1,15,0,31,1
ab,1,16,0,31,1
ab,1,17,0,31,1
ab,1,18,0,31,1
ab,1,19,0,31,1
ab,1,20,0,31,1
ab,1,21,0,31,1
ab,1,22,0,31,1
ab,1,23,0,31,1
ab,1,24,0,31,1
ab,1,25,0,31,1
ab,1,26,0,31,1
ab,1,27,0,31,1
ab,1,28,0,31,1
ab,1,29,0,31,1
ab,1,30,0,31,1
ab,1,31,0,31,1
ab,1,32,0,31,1
ab,1,33,0,31,1
ab,1,34,0,31,1
ab,1,35,0,31,1
ab,1,36,0,31,1
ab,1,37,0,31,1
ab,1,38,0,31,1
ab,1,39,0,31,1
ab,1,40,0,31,1
ab,1,41,0,31,1
ab,1,42,0,31,1
ab,1,43,0,31,1
ab,1,44,0,31,1
ab,1,45,0,31,1
ab,1,46,0,31,1
ab,1,47,0,31,1
ab,1,48,0,31,1
ab,1,49,0,31,1
ab,1,50,0,31,1
ab,1,51,0,31,1
ab,1,52,0,31,1
ab,1,53,0,31,1
ab,1,54,0,31,1
ab,1,55,0,31,1
ab,1,56,0,31,1
ab,1,57,0,31,1
ab,1,58,0,31,1
ab,1,59,0,31,1
ab,1,60,0,31,1
ab,1,61,0,31,1
ab,1,62,0,31,1
ab,1,63,0,31,1
ab,1,64,0,31,1
ab,1,65,0,31,1
ab,1,66,0,31,1
ab,1,67,0,31,1
ab,1,68,0,31,1
ab,1,69,0,31,1
ab,1,70,0,31,1
ab,1,71,0,31,1
ab,1,72,0,31,1
ab,1,73,0,31,1
ab,1,74,0,31,1
ab,1,75,0,31,1
ab,1,76,0,31,1
ab,1,77,0,31,1
ab,1,78,0,31,1
ab,1,79,0,31,1
ab,1,80,0,31,1
ab,1,81,0,31,1
ab,1,82,0,31,1
ab,1,83,0,31,1
ab,1,84,0,31,1
ab,1,85,0,31,1
ab,1,86,0,31,1
ab,1,87,0,31,1
ab,1,88,0,31,1
ab,1,89,0,31,1
ab,1,90,0,31,1
ab,1,91,0,31,1
ab,1,92,0,31,1
ab,1,93,0,31,1
ab,1,94,0,31,1
ab,1,95,0,31,1
ab,1,96,0,31,1
ab,1,97,0,31,1
ab,1,98,0,31,1
ab,1,99,0,31,1
ab,1,100,0,31,1
ab,1,101,0,31,1
ab,1,102,0,31,1
ab,1,103,0,31,1
ab,1,104,0,31,1
ab,1,105,0,31,1
ab,1,106,0,31,1
ab,1,107,0,31,1
ab,1,108,0,31,1
ab,1,109,0,31,1
ab,1,110,0,31,1
ab,1,111,0,31,1
ab,1,112,0,31,1
ab,1,113,0,31,1
ab,1,114,0,31,1
ab,1,115,0,31,1
ab,1,116,0,31,1
ab,1,117,0,31,1
ab,1,118,0,31,1
ab,1,119,0,31,1
ab,1,120,0,31,1
ab,1,121,0,31,1
ab,1,122,0,31,1
ab,1,123,0,31,1
ab,1,124,0,31,1
ab,1,125,0,31,1
ab,1,126,0,31,1
ab,1,127,0,31,1
ab,1,128,0,31,1
ab,2,1,0,31,3
ab,2,2,0,31,7
ab,2,3,0,31,3
ab,2,4,0,31,7
ab,2,5,0,31,3
ab,2,6,0,31,7
ab,2,7,0,31,3
ab,2,8,0,31,7
ab,2,9,0,31,3
ab,2,10,0,31,7
ab,2,11,0,31,3
ab,2,12,0,31,7
ab,2,13,0,31,3
ab,2,14,0,31,7
ab,2,15,0,31,3
ab,2,16,0,31,7
ab,2,17,0,31,3
ab,2,18,0,31,7
ab,2,19,0,31,3
ab,2,20,0,31,7
ab,2,21,0,31,3
ab,2,22,0,31,7
ab,2,23,0,31,3
ab,2,24,0,31,7
ab,2,25,0,31,3
ab,2,26,0,31,7
ab,2,27,0,31,3
ab,2,28,0,31,7
ab,2,29,0,31,3
ab,2,30,0,31,7
ab,2,31,0,31,3
